time,count,volume 
1667367716.590569,8,16
1667367726.585132,9,19
1667367754.774016,2,7
1667367764.769031,8,23
1667367774.777902,17,29
1667367834.772309,51,99
1667367844.782241,55,113
1667367854.77304,61,117
1667367864.775809,67,128
1667367874.77607,75,145
1667367884.768453,82,164
1667368399,5,8
1667368409,13,19
1667368419,20,28
1667368429,25,32
1667368470,2,2
1667368480,6,6
1667368517,2,4
1667368527,8,16
1667368537,12,27
1667368547,16,41
1667368557,24,55
1667368567,26,64
1667368577,36,79
1667368587,42,89
1667368597,50,97
1667368607,57,106
1667368617,62,116
1667368627,69,126
1667368637,75,137
1667368647,80,149
1667368657,86,161
1667368667,91,174
1667368677,97,186
1667368687,100,190
1667368697,107,197
1667368707,112,209
1667368717,116,218
1667368727,124,234
1667368737,129,242
1667368747,135,254
1667368757,140,263
1667368767,145,269
1667368777,147,283
1667368787,153,300
1667368797,156,306
